id,Title,Type,Date,Source,link
10,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in central Mali, 2019",Official Statement,2019-03-27 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Mar-SAStatement-Mali.pdf
11,"Statement by the UN Special Adviser on the Prevention of Genocide on the appeal judgement of Radovan Karadzic for genocide, war crimes and crimes against humanity, 2019",Official Statement,2019-03-20 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/03/2019-Mar-SAStatement-Karadzic.pdf
12,"Statement by the UN Special Adviser on the Prevention of Genocide on the draft reforms to the Law on National Reconciliation, Guatemala, 2019",Official Statement,2019-03-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Mar-SAStatement-Guatemala.pdf
13,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 40th session of the Human Rights Council,Official Statement,2019-03-07 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC40-GOF-Item2.pdf
14,"UN Special Representatives on Sexual Violence in Conflict, Children and Armed Conflict and Special Adviser on the Prevention of Genocide urge the Government of South Sudan to ensure accountability for sexual violence against women and girls in Bentiu, 2018",Official Statement,2018-12-03 00:00:00,"Special Representative of the Secretary-General on Sexual Violence in Conflict, Special Representative of the Secretary-General for Children and Armed Conflict and the Special Adviser on the Prevention of Genocide",https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Dec-SAStatement-South-Sudan.pdf
15,"Statement by the UN Special Adviser on the Prevention of Genocide on the conviction of NUON Chea and KHIEU Samphan for the crime of genocide, crimes against humanity and grave breaches of the 1949 Geneva Conventions by the Extraordinary Chambers in the Courts of Cambodia, 2018",Official Statement,2018-11-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Nov-SAStatement-Cambodai.pdf
16,Statement delivered on behalf of the UN Group of Friends of R2P at the High-Level Panel discussion to commemorate the 70th anniversary of the Genocide Convention at the 39th session of the Human Rights Council,Official Statement,2018-09-13 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC39-GOD-HLPD-on-Genocide.pdf
17,Statement delivered on behalf of the UN Group of Friends of R2P on Item 2 at the 39th session of the Human Rights Council,Official Statement,2018-09-12 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC39-GOF-Item2.pdf
18,Statement by the UN Special Adviser on the Prevention of Genocide on the decision of the International Criminal Court Pre-Trial Chamber on the jurisdiction over the crime of deportation of the Rohingya population from Myanmar,Official Statement,2018-09-07 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Sep-SAStatement-Myanmar.pdf
19,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in Idlib, Syrian Arab Republic, 2018",Official Statement,2018-09-06 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Sep-SAStatement-Syria.pdf
20,"Statement by the UN Special Adviser on the Prevention of Genocide on the decision by the Republika Srpska National Assembly to revoke endorsement of the 2004 Srebrenica Commission Report, 2018",Official Statement,2018-08-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Aug-SAStatement-Republika-Srpska.pdf
21,Statement delivered on behalf of the UN Group of Friends of R2P at the Panel Discussion on Human Rights and the Sustainable Development Goals at the 38th session of the Human Rights Council,Official Statement,2018-07-04 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item10-1.pdf
22,Statement delivered on behalf of the Group of Friends of R2P on Item 10 at the 38th session of the Human Rights Council,Official Statement,2018-07-04 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item10.pdf
23,Statement delivered on behalf of the Group of Friends of R2P at the 2018 UN General Assembly Debate on R2P,Official Statement,2018-06-25 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-R2PDebate-GOF.pdf
24,"Statement by the UN Secretary-General at the 2018 General Assembly debate on the Responsibility to Protect and the Prevention of genocide, war crimes, ethnic cleansing and crimes against humanity",Official Statement,2018-06-25 00:00:00,UN Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-R2PDebate-UNSG.pdf
25,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 38th session of the Human Rights Council,Official Statement,2018-06-19 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item2.pdf
26,"Statement by the UN Special Adviser on the Prevention of Genocide, on the situation in Hudaydah, Yemen, June 2018",Official Statement,2018-06-14 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Jun-SAStatement-Yemen.pdf
27,Statement delivered on behalf of the Group of Friends of R2P at the UN Security Council Open Debate on the Protection of Civilians,Official Statement,2018-05-22 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-UNSC-GOF-POC.pdf
28,"United Nations Officials condemn targeted and widespread sexual violence in South Sudan and call for the immediate cessation of the attacks against civilians, May 2018",Official Statement,2018-05-11 00:00:00,"Special Representative of the Secretary-General on Sexual Violence in Conflict, Special Representative of the Secretary-General for Children and Armed Conflict and the Special Adviser on the Prevention of Genocide",https://www.globalr2p.org/wp-content/uploads/2019/06/2018-May-SAStatement-South-Sudan.pdf
29,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to Bangladesh to assess the situation of Rohingya refugees from Myanmar, March 2018",Official Statement,2018-03-13 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Mar-SAStatement-Myanmar.pdf
30,Statement on behalf of the Group of Friends of R2P at on Item 2 at the 37th Session of the Human Rights Council,Official Statement,2018-03-08 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC37-GOF-Item2.pdf
31,Statement on behalf of the Group of Friends of R2P at 37th Session of the Human Rights Council,Official Statement,2018-03-02 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC37-GOF-IDSRs.pdf
32,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to the region of the Western Balkans, February 2018",Official Statement,2018-02-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Feb-SAStatement-Western-Balkans.pdf
33,Statement delivered on behalf of the Group of Friends of the Responsibility to Protect at the special session of the Human Rights Council on the human rights situation in Myanmar,Official Statement,2017-12-05 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-HRC-SSMyanmar-GOF.pdf
34,"Statement by the UN Special Adviser on the Prevention of Genocide on the conviction of Ratko Mladić for genocide, war crimes and crimes against humanity, November 2017",Official Statement,2017-11-22 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Nov-SAStatement-Mladic.pdf
35,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in northern Rakhine state, Myanmar, October 2017",Official Statement,2017-10-19 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Oct-SAStatement-Myanmar.pdf
36,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to the Central African Republic, October 2017",Official Statement,2017-10-11 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Oct-SAStatement-CAR-EN.pdf
37,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Yemen, September 2017",Official Statement,2017-09-19 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/201Sep-SAStatement-Yemen.pdf
38,Statement on behalf of the Group of Friends of R2P at 36th Session of the Human Rights Council,Official Statement,2017-09-12 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-HRC36-GOF-Item2.pdf
39,Statement by Botswana at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-07 00:00:00,Botswana,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Botswana.pdf
40,Statement by Germany at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-07 00:00:00,Germany,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Germany.pdf
41,Statement by China at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,China,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-China.pdf
42,Statement by Chile at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Chile,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Chile-En.pdf
43,Statement by Canada at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Canada,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Canada.pdf
44,Statement by Brazil at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Brazil,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Brazil.pdf
45,Statement by Bolivia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Bolivia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Bolivia.pdf
46,Statement by Belgium at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Belgium,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Belgium.pdf
47,Statement by Belarus at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Belarus,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Belarus-En.pdf
48,Statement by Mexico at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Mexico,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Mexico.pdf
49,Statement by Luxembourg at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Luxembourg,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Luxembourg.pdf
50,Statement by Liechtenstein at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Liechtenstein,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Liechtenstein.pdf
51,Statement by Latvia on behalf of the Baltic states at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Latvia (on behalf of Estonia and Lithuania),https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-latvia-on-behalf-of-estonia-lithuania.pdf
52,Statement by Kazakhstan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Kazakhstan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Kazakhstan.pdf
53,Statement by Japan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Japan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Japan.pdf
54,Statement by Italy at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Italy,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Italy.pdf
55,Statement by Israel at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Israel,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Israel.pdf
56,Statement by Bangladesh at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Bangladesh,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Bangladesh.pdf
57,Statement by Azerbaijan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Azerbaijan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Azerbaijan.pdf
58,Statement by Australia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Australia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Australia.pdf
59,Statement by Armenia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Armenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Armenia.pdf
60,Statement by Argentina at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Argentina,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Argentina-En.pdf
61,Statement by Andorra at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Andorra,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Andorra-En.pdf
62,Statement by Spain at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Spain,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Spain-En.pdf
63,Statement by South Africa at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,South Africa,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-South-Africa.pdf
64,Statement by Slovenia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Slovenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Slovenia.pdf
65,Statement by Slovakia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Slovakia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Slovakia.pdf
66,Statement by Saudi Arabia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Saudi Arabia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Saudi-Arabia.pdf
67,Statement by Rwanda at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Rwanda.pdf
68,Statement by Qatar at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Qatar,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Qatar-En.pdf
69,Statement by Peru at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Peru,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Peru-En.pdf
70,Statement by Ireland at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ireland,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ireland.pdf
71,Statement by Venezuela at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Venezuela,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Venezuela-En.pdf
72,Statement by Vanuatu at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Vanuatu,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Vanuatu.pdf
73,Statement by Iraq at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Iraq,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Iraq-En.pdf
74,Statement by Paraguay at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Paraguay,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Paraguay-En.pdf
75,Statement by Iran at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Iran,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Iran.pdf
76,Statement by Panama at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Pakistan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Pakistan-1.pdf
77,Statement by India at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,India,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-India.pdf
78,Statement by Uruguay at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Uruguay,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Uruguay-En.pdf
79,Statement by ICRtoP at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,International Coalition for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-ICRtoP.pdf
80,Statement by Ukraine at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ukraine,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ukraine.pdf
81,Statement by Pakistan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Pakistan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Pakistan.pdf
82,Statement by Hungary at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Hungary,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Hungary.pdf
83,Statement by Turkey at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Turkey,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Turkey.pdf
84,Statement by the United States at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,United States,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-US.pdf
85,Statement by Haiti at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Haiti,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Haiti-En.pdf
86,Statement by Guatemala at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Guatemala,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Guatemala.pdf
87,Statement by the United Kingdom at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,United Kingdom,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-UK.pdf
88,Statement by Ghana at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ghana,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ghana.pdf
89,"Statement by the UN Secretary-General, Mr. Antonio Guterres, at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2017-09-06 00:00:00,UN Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-UNSG.pdf
90,Statement by the Solomon Islands at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Solomon Islands,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Solomon-Islands.pdf
91,Statement by Georgia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Georgia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Georgia.pdf
92,Statement by the Russian Federation at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Russia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Russia.pdf
93,Statement by the Republic of Korea at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Republic of Korea,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-ROK.pdf
94,Statement by France at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,France,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-France-En.pdf
95,Statement by European Union at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,EU,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-EU.pdf
96,Statement by Norway on behalf of the Nordic states at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Finland,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Norway-on-behalf-of-Denmark-Finland-Iceland-Sweden.pdf
97,"Statement by the President of the General Assembly, Mr. Peter Thomson, at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2017-09-06 00:00:00,President of the UN General Assembly,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-PGA.pdf
98,Statement by Egypt at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Egypt,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Egypt.pdf
99,Statement by the Philippines at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Philippines,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Philippines.pdf
100,Statement delivered on behalf of the Group of Friends of R2P at the 2017 UN General Assembly informal interactive dialogue on R2P,Official Statement,2017-09-06 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-GOF.pdf
101,Statement by Nigeria at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Nigeria,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Nigeria.pdf
102,Statement by the Holy See at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Holy See,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Holy-See.pdf
103,Statement by Nicaragua at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Nicaragua,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Nicaragua-En.pdf
104,Statement by the Democratic People's Republic of Korea at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Democratic People's Republic of Korea,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-DPRK.pdf
105,Statement by Ecuador at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ecuador,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ecuador.pdf
106,Statement by Myanmar at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Myanmar,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Myanmar.pdf
107,Statement by the Czech Republic at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Czech Republic,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Czech-Republic.pdf
